海尔智家 异动预警  数据区间 2026-07-30 ~ 2026-08-27  共86条

[2026-08-27] [中] 跳变            09:45  同槽较前日+70.1% (29,227->49,709手)
[2026-08-27] [高] 跳变            13:30  同槽较前日+161.1% (5,478->14,300手)
[2026-08-27] [中] 跳变            13:45  同槽较前日+63.0% (6,161->10,041手)
[2026-08-26] [中] 跳变            09:45  同槽较前日-50.9% (59,474->29,227手)
[2026-08-26] [中] 跳变            13:15  同槽较前日-55.5% (26,193->11,656手)
[2026-08-26] [中] 跳变            13:30  同槽较前日-53.5% (11,779->5,478手)
[2026-08-25] [中] 跳变            13:30  同槽较前日-56.7% (27,213->11,779手)
[2026-08-25] [中] 跳变            14:00  同槽较前日-56.7% (26,146->11,310手)
[2026-08-25] [中] 跳变            14:15  同槽较前日-66.5% (31,417->10,532手)
[2026-08-24] [中] 跳变            11:00  同槽较前日+59.3% (11,854->18,879手)
[2026-08-24] [中] 跳变            14:15  同槽较前日+66.9% (18,822->31,417手)
[2026-08-24] [高] 跳变            14:30  同槽较前日+115.4% (11,390->24,534手)
[2026-08-24] [高] 跳变            14:45  同槽较前日+148.3% (10,615->26,361手)
[2026-08-21] [中] 跳变            09:45  同槽较前日+59.2% (57,868->92,153手)
[2026-08-20] [中] 跳变            11:00  同槽较前日+68.0% (13,251->22,258手)
[2026-08-20] [中] 跳变            13:15  同槽较前日-70.1% (72,728->21,746手)
[2026-08-19] [中] 跳变            10:00  同槽较前日+54.0% (25,916->39,905手)
[2026-08-19] [高] 跳变            13:15  同槽较前日+104.1% (35,642->72,728手)
[2026-08-19] [中] 跳变            13:30  同槽较前日+94.8% (15,919->31,007手)
[2026-08-19] [高] 跳变            14:15  同槽较前日+115.4% (16,367->35,246手)
[2026-08-19] [中] 跳变            14:30  同槽较前日+99.0% (17,493->34,812手)
[2026-08-19] [高] 跳变            14:45  同槽较前日+169.1% (13,917->37,455手)
[2026-08-19] [中] 跳变            15:00  同槽较前日+63.5% (19,865->32,482手)
[2026-08-18] [中] 跳变            10:45  同槽较前日-55.7% (34,213->15,153手)
[2026-08-18] [中] 跳变            14:45  同槽较前日-59.7% (34,529->13,917手)
[2026-08-18] [中] 量价背离             全天  价涨1.1%但量比仅0.86
[2026-08-17] [中] 跳变            09:45  同槽较前日+65.8% (45,186->74,940手)
[2026-08-17] [中] 跳变            10:00  同槽较前日+64.7% (24,525->40,398手)
[2026-08-17] [中] 跳变            10:15  同槽较前日+90.8% (17,402->33,202手)
[2026-08-17] [中] 跳变            10:30  同槽较前日+82.5% (14,792->26,992手)
[2026-08-17] [高] 跳变            10:45  同槽较前日+214.3% (10,885->34,213手)
[2026-08-17] [高] 跳变            11:00  同槽较前日+115.1% (9,052->19,470手)
[2026-08-17] [中] 跳变            11:15  同槽较前日+69.9% (9,691->16,464手)
[2026-08-17] [中] 跳变            11:30  同槽较前日+66.0% (7,592->12,606手)
[2026-08-17] [高] 跳变            13:15  同槽较前日+256.6% (8,661->30,886手)
[2026-08-17] [高] 跳变            13:30  同槽较前日+232.3% (9,403->31,245手)
[2026-08-17] [中] 跳变            14:00  同槽较前日+54.4% (10,412->16,072手)
[2026-08-17] [高] 跳变            14:15  同槽较前日+223.9% (7,897->25,576手)
[2026-08-17] [中] 跳变            14:30  同槽较前日+90.8% (13,760->26,256手)
[2026-08-17] [中] 跳变            14:45  同槽较前日+55.1% (22,264->34,529手)
[2026-08-17] [高] 量价背离             全天  价跌-1.7%但量比达1.18
[2026-08-14] [中] 跳变            10:45  同槽较前日-68.8% (34,875->10,885手)
[2026-08-14] [中] 跳变            11:00  同槽较前日-76.0% (37,789->9,052手)
[2026-08-14] [中] 跳变            14:30  同槽较前日+54.8% (8,889->13,760手)
[2026-08-14] [高] 跳变            15:00  同槽较前日+121.5% (16,992->37,638手)
[2026-08-13] [中] 跳变            09:45  同槽较前日-56.7% (79,036->34,202手)
[2026-08-13] [中] 跳变            11:30  同槽较前日-73.2% (36,187->9,686手)
[2026-08-12] [中] 跳变            09:45  同槽较前日+95.8% (40,363->79,036手)
[2026-08-12] [高] 跳变            11:00  同槽较前日+144.1% (15,836->38,664手)
[2026-08-12] [高] 跳变            11:15  同槽较前日+150.0% (11,275->28,185手)
[2026-08-12] [高] 跳变            11:30  同槽较前日+143.9% (14,835->36,187手)
[2026-08-12] [中] 跳变            13:15  同槽较前日+63.3% (10,915->17,820手)
[2026-08-12] [中] 跳变            14:15  同槽较前日+70.0% (9,076->15,429手)
[2026-08-11] [中] 跳变            10:45  同槽较前日-55.8% (43,514->19,214手)
[2026-08-11] [中] 跳变            11:00  同槽较前日-57.8% (37,523->15,836手)
[2026-08-11] [中] 跳变            14:15  同槽较前日-59.0% (22,138->9,076手)
[2026-08-10] [中] 跳变            10:00  同槽较前日+85.5% (26,267->48,712手)
[2026-08-10] [高] 跳变            10:45  同槽较前日+116.9% (20,059->43,514手)
[2026-08-10] [高] 跳变            11:00  同槽较前日+127.1% (16,521->37,523手)
[2026-08-10] [中] 跳变            11:30  同槽较前日+50.3% (12,076->18,149手)
[2026-08-10] [中] 跳变            13:30  同槽较前日+75.4% (9,090->15,942手)
[2026-08-10] [中] 跳变            13:45  同槽较前日+50.9% (11,162->16,843手)
[2026-08-10] [中] 跳变            14:30  同槽较前日+79.3% (11,487->20,593手)
[2026-08-10] [中] 跳变            14:45  同槽较前日+60.3% (13,669->21,914手)
[2026-08-07] [中] 跳变            10:30  同槽较前日+50.8% (24,629->37,128手)
[2026-08-07] [中] 跳变            10:45  同槽较前日-58.3% (48,158->20,059手)
[2026-08-06] [高] 跳变            10:45  同槽较前日+195.6% (16,292->48,158手)
[2026-08-06] [中] 跳变            11:15  同槽较前日+82.1% (9,706->17,675手)
[2026-08-06] [中] 跳变            13:30  同槽较前日-58.8% (14,925->6,149手)
[2026-08-06] [中] 跳变            14:30  同槽较前日-52.0% (23,549->11,302手)
[2026-08-05] [中] 跳变            11:00  同槽较前日-65.1% (44,386->15,512手)
[2026-08-05] [中] 跳变            11:15  同槽较前日-60.5% (24,558->9,706手)
[2026-08-04] [中] 跳变            10:15  同槽较前日+68.7% (26,820->45,255手)
[2026-08-04] [中] 跳变            15:00  同槽较前日+70.4% (26,413->45,010手)
[2026-08-04] [高] 量价背离             全天  价跌-1.4%但量比达1.32
[2026-08-03] [中] 跳变            10:15  同槽较前日-59.1% (65,612->26,820手)
[2026-08-03] [中] 跳变            13:45  同槽较前日-52.6% (33,372->15,835手)
[2026-08-03] [高] 量价背离             全天  价跌-1.2%但量比达1.17
[2026-07-31] [中] 跳变            09:45  同槽较前日+80.2% (64,712->116,594手)
[2026-07-31] [高] 跳变            10:15  同槽较前日+114.0% (30,660->65,612手)
[2026-07-31] [中] 跳变            11:00  同槽较前日+84.7% (12,297->22,718手)
[2026-07-31] [中] 跳变            11:15  同槽较前日+76.1% (13,687->24,101手)
[2026-07-31] [中] 跳变            13:30  同槽较前日-54.6% (57,647->26,151手)
[2026-07-31] [中] 跳变            14:15  同槽较前日+68.6% (23,625->39,843手)
[2026-07-31] [中] 跳变            14:30  同槽较前日+72.0% (23,135->39,794手)
[2026-07-31] [中] 跳变            14:45  同槽较前日+83.5% (24,369->44,726手)
